median_rent,renter_occ,all_units,one_br,two_br,three_br,multi_rm,county,GPID,NAME
1241,44.0,670.0,0.0,0.0,3.0,667.0,Allegheny,9892,"Edgeworth borough, Allegheny County, Pennsylvania"
696,286.0,746.0,21.0,16.0,64.0,645.0,Allegheny,9894,"Elizabeth borough, Allegheny County, Pennsylvania"
794,948.0,5888.0,41.0,74.0,158.0,5615.0,Allegheny,9248,"Elizabeth township, Allegheny County, Pennsylvania"
841,505.0,1270.0,7.0,22.0,113.0,1128.0,Allegheny,9897,"Emsworth borough, Allegheny County, Pennsylvania"
731,545.0,1574.0,31.0,17.0,89.0,1437.0,Allegheny,9932,"Etna borough, Allegheny County, Pennsylvania"
676,150.0,1059.0,7.0,0.0,18.0,1034.0,Allegheny,9521,"Fawn township, Allegheny County, Pennsylvania"
688,499.0,2544.0,0.0,78.0,90.0,2376.0,Allegheny,8754,"Findlay township, Allegheny County, Pennsylvania"
932,951.0,3483.0,126.0,51.0,91.0,3215.0,Allegheny,9475,"Forest Hills borough, Allegheny County, Pennsylvania"
724,209.0,1642.0,9.0,0.0,57.0,1576.0,Allegheny,8790,"Forward township, Allegheny County, Pennsylvania"
-,69.0,1941.0,0.0,0.0,0.0,1941.0,Allegheny,9963,"Fox Chapel borough, Allegheny County, Pennsylvania"
1673,552.0,5580.0,131.0,7.0,60.0,5382.0,Allegheny,9367,"Franklin Park borough, Allegheny County, Pennsylvania"
892,36.0,548.0,0.0,7.0,28.0,513.0,Allegheny,9624,"Frazer township, Allegheny County, Pennsylvania"
752,605.0,2556.0,0.0,59.0,163.0,2334.0,Allegheny,9509,"Glassport borough, Allegheny County, Pennsylvania"
850,13.0,95.0,0.0,0.0,6.0,89.0,Allegheny,9575,"Glenfield borough, Allegheny County, Pennsylvania"
1375,9.0,218.0,0.0,2.0,0.0,216.0,Allegheny,8556,"Glen Osborne borough, Allegheny County, Pennsylvania"
1411,599.0,2290.0,102.0,11.0,105.0,2072.0,Allegheny,10106,"Green Tree borough, Allegheny County, Pennsylvania"
1206,1158.0,7462.0,99.0,141.0,142.0,7080.0,Allegheny,9626,"Hampton township, Allegheny County, Pennsylvania"
842,520.0,1756.0,58.0,37.0,120.0,1541.0,Allegheny,9899,"Harmar township, Allegheny County, Pennsylvania"
675,1297.0,5062.0,38.0,17.0,523.0,4484.0,Allegheny,10145,"Harrison township, Allegheny County, Pennsylvania"
1607,11.0,58.0,0.0,1.0,0.0,57.0,Allegheny,10117,"Haysville borough, Allegheny County, Pennsylvania"
823,222.0,677.0,0.0,16.0,73.0,588.0,Allegheny,10157,"Heidelberg borough, Allegheny County, Pennsylvania"
722,985.0,1869.0,107.0,20.0,430.0,1312.0,Allegheny,9900,"Homestead borough, Allegheny County, Pennsylvania"
939,319.0,2830.0,18.0,0.0,22.0,2790.0,Allegheny,8559,"Indiana township, Allegheny County, Pennsylvania"
823,590.0,1559.0,18.0,12.0,200.0,1329.0,Allegheny,9903,"Ingram borough, Allegheny County, Pennsylvania"
1119,770.0,4845.0,29.0,7.0,121.0,4688.0,Allegheny,9286,"Jefferson Hills borough, Allegheny County, Pennsylvania"
1077,783.0,3778.0,65.0,119.0,105.0,3489.0,Allegheny,9491,"Kennedy township, Allegheny County, Pennsylvania"
632,15.0,314.0,0.0,0.0,2.0,312.0,Allegheny,10121,"Kilbuck township, Allegheny County, Pennsylvania"
992,76.0,659.0,0.0,0.0,9.0,650.0,Allegheny,9236,"Leet township, Allegheny County, Pennsylvania"
832,211.0,618.0,3.0,43.0,43.0,529.0,Allegheny,9369,"Leetsdale borough, Allegheny County, Pennsylvania"
781,208.0,1194.0,0.0,5.0,70.0,1119.0,Allegheny,7715,"Liberty borough, Allegheny County, Pennsylvania"
667,37.0,474.0,0.0,0.0,10.0,464.0,Allegheny,9289,"Lincoln borough, Allegheny County, Pennsylvania"
1046,2920.0,12370.0,210.0,168.0,1030.0,10962.0,Allegheny,9810,"McCandless township, Allegheny County, Pennsylvania"
930,33.0,208.0,0.0,0.0,0.0,208.0,Allegheny,8550,"McDonald borough, Allegheny County, Pennsylvania"
634,4435.0,11218.0,202.0,283.0,985.0,9748.0,Allegheny,9735,"McKeesport city, Allegheny County, Pennsylvania"
694,1719.0,3437.0,178.0,120.0,491.0,2648.0,Allegheny,9649,"McKees Rocks borough, Allegheny County, Pennsylvania"
1396,342.0,3429.0,0.0,47.0,74.0,3308.0,Allegheny,10001,"Marshall township, Allegheny County, Pennsylvania"
717,1110.0,2178.0,89.0,98.0,281.0,1710.0,Allegheny,9851,"Millvale borough, Allegheny County, Pennsylvania"
1051,3941.0,13434.0,337.0,439.0,1254.0,11404.0,Allegheny,10175,"Monroeville municipality, Allegheny County, Pennsylvania"
967,2313.0,10521.0,88.0,397.0,799.0,9237.0,Allegheny,9485,"Moon township, Allegheny County, Pennsylvania"
928,3739.0,14487.0,523.0,221.0,1309.0,12434.0,Allegheny,9912,"Mount Lebanon township, Allegheny County, Pennsylvania"
842,790.0,1773.0,25.0,44.0,156.0,1548.0,Allegheny,7898,"Mount Oliver borough, Allegheny County, Pennsylvania"
693,2245.0,6103.0,255.0,140.0,661.0,5047.0,Allegheny,8216,"Munhall borough, Allegheny County, Pennsylvania"
778,270.0,651.0,0.0,4.0,24.0,623.0,Allegheny,9458,"Neville township, Allegheny County, Pennsylvania"
569,1135.0,3127.0,18.0,92.0,331.0,2686.0,Allegheny,8433,"North Braddock borough, Allegheny County, Pennsylvania"
1101,1897.0,6795.0,185.0,129.0,429.0,6052.0,Allegheny,9915,"North Fayette township, Allegheny County, Pennsylvania"
761,1681.0,5516.0,162.0,60.0,524.0,4770.0,Allegheny,9461,"North Versailles township, Allegheny County, Pennsylvania"
728,127.0,693.0,23.0,22.0,25.0,623.0,Allegheny,8097,"Oakdale borough, Allegheny County, Pennsylvania"
879,1273.0,3381.0,54.0,33.0,210.0,3084.0,Allegheny,8847,"Oakmont borough, Allegheny County, Pennsylvania"
1484,596.0,3942.0,66.0,77.0,170.0,3629.0,Allegheny,8403,"O'Hara township, Allegheny County, Pennsylvania"
1330,543.0,2770.0,22.0,40.0,38.0,2670.0,Allegheny,9785,"Ohio township, Allegheny County, Pennsylvania"
829,4748.0,20425.0,327.0,134.0,962.0,19002.0,Allegheny,8406,"Penn Hills township, Allegheny County, Pennsylvania"
1101,105.0,519.0,0.0,7.0,38.0,474.0,Allegheny,8832,"Pennsbury Village borough, Allegheny County, Pennsylvania"
1587,814.0,4685.0,0.0,121.0,292.0,4272.0,Allegheny,8663,"Pine township, Allegheny County, Pennsylvania"
687,833.0,1668.0,18.0,39.0,192.0,1419.0,Allegheny,7925,"Pitcairn borough, Allegheny County, Pennsylvania"
958,72931.0,157311.0,4850.0,6698.0,21981.0,123782.0,Allegheny,9741,"Pittsburgh city, Allegheny County, Pennsylvania"
995,843.0,3752.0,136.0,15.0,146.0,3455.0,Allegheny,8095,"Pleasant Hills borough, Allegheny County, Pennsylvania"
948,2319.0,11990.0,103.0,101.0,401.0,11385.0,Allegheny,9271,"Plum borough, Allegheny County, Pennsylvania"
815,463.0,1933.0,7.0,17.0,119.0,1790.0,Allegheny,9276,"Port Vue borough, Allegheny County, Pennsylvania"
613,677.0,1057.0,17.0,8.0,55.0,977.0,Allegheny,8222,"Rankin borough, Allegheny County, Pennsylvania"
847,194.0,1556.0,0.0,9.0,0.0,1547.0,Allegheny,9829,"Reserve township, Allegheny County, Pennsylvania"
1490,678.0,4397.0,73.0,81.0,160.0,4083.0,Allegheny,8633,"Richland township, Allegheny County, Pennsylvania"
1234,1532.0,6561.0,46.0,229.0,715.0,5571.0,Allegheny,9275,"Robinson township, Allegheny County, Pennsylvania"
932,3384.0,14686.0,109.0,305.0,1133.0,13139.0,Allegheny,9611,"Ross township, Allegheny County, Pennsylvania"
1833,4.0,199.0,0.0,0.0,0.0,199.0,Allegheny,7946,"Rosslyn Farms borough, Allegheny County, Pennsylvania"
1025,2825.0,8136.0,194.0,284.0,936.0,6722.0,Allegheny,9547,"Scott township, Allegheny County, Pennsylvania"
865,700.0,2066.0,28.0,51.0,169.0,1818.0,Allegheny,9279,"Sewickley borough, Allegheny County, Pennsylvania"
1266,31.0,355.0,0.0,2.0,0.0,353.0,Allegheny,8849,"Sewickley Heights borough, Allegheny County, Pennsylvania"
725,14.0,277.0,0.0,5.0,6.0,266.0,Allegheny,8348,"Sewickley Hills borough, Allegheny County, Pennsylvania"
931,1540.0,13023.0,4.0,23.0,369.0,12627.0,Allegheny,9970,"Shaler township, Allegheny County, Pennsylvania"
792,965.0,1887.0,9.0,152.0,238.0,1488.0,Allegheny,8810,"Sharpsburg borough, Allegheny County, Pennsylvania"
965,1299.0,6485.0,270.0,61.0,130.0,6024.0,Allegheny,9891,"South Fayette township, Allegheny County, Pennsylvania"
1000,1148.0,5819.0,0.0,83.0,227.0,5509.0,Allegheny,9859,"South Park township, Allegheny County, Pennsylvania"
1018,19.0,197.0,0.0,0.0,3.0,194.0,Allegheny,10131,"South Versailles township, Allegheny County, Pennsylvania"
661,620.0,1733.0,9.0,0.0,281.0,1443.0,Allegheny,8813,"Springdale borough, Allegheny County, Pennsylvania"
787,147.0,865.0,6.0,4.0,75.0,780.0,Allegheny,9907,"Springdale township, Allegheny County, Pennsylvania"
790,1198.0,3192.0,13.0,0.0,206.0,2973.0,Allegheny,9928,"Stowe township, Allegheny County, Pennsylvania"
833,2259.0,5155.0,56.0,71.0,625.0,4403.0,Allegheny,9284,"Swissvale borough, Allegheny County, Pennsylvania"
585,1178.0,2401.0,147.0,46.0,374.0,1834.0,Allegheny,8221,"Tarentum borough, Allegheny County, Pennsylvania"
-,2.0,180.0,0.0,0.0,0.0,180.0,Allegheny,7929,"Thornburg borough, Allegheny County, Pennsylvania"
-,27.0,51.0,0.0,15.0,0.0,36.0,Allegheny,10036,"Trafford borough, Allegheny County, Pennsylvania"
552,1410.0,2589.0,41.0,44.0,65.0,2439.0,Allegheny,8552,"Turtle Creek borough, Allegheny County, Pennsylvania"
1780,673.0,7441.0,77.0,90.0,176.0,7098.0,Allegheny,10000,"Upper St. Clair township, Allegheny County, Pennsylvania"
662,636.0,1342.0,33.0,45.0,172.0,1092.0,Allegheny,9068,"Verona borough, Allegheny County, Pennsylvania"
763,406.0,879.0,23.0,43.0,83.0,730.0,Allegheny,9071,"Versailles borough, Allegheny County, Pennsylvania"
725,88.0,326.0,2.0,0.0,6.0,318.0,Allegheny,8808,"Wall borough, Allegheny County, Pennsylvania"
769,812.0,5526.0,122.0,0.0,173.0,5231.0,Allegheny,9968,"West Deer township, Allegheny County, Pennsylvania"
716,62.0,213.0,0.0,0.0,15.0,198.0,Allegheny,8376,"West Elizabeth borough, Allegheny County, Pennsylvania"
872,227.0,986.0,0.0,12.0,56.0,918.0,Allegheny,8131,"West Homestead borough, Allegheny County, Pennsylvania"
640,1806.0,9662.0,65.0,38.0,479.0,9080.0,Allegheny,8134,"West Mifflin borough, Allegheny County, Pennsylvania"
834,946.0,3136.0,20.0,33.0,253.0,2830.0,Allegheny,8119,"West View borough, Allegheny County, Pennsylvania"
829,211.0,614.0,0.0,0.0,11.0,603.0,Allegheny,8007,"Whitaker borough, Allegheny County, Pennsylvania"
779,1587.0,6264.0,157.0,143.0,759.0,5205.0,Allegheny,7720,"Whitehall borough, Allegheny County, Pennsylvania"
808,1088.0,3774.0,0.0,55.0,273.0,3446.0,Allegheny,7723,"White Oak borough, Allegheny County, Pennsylvania"
964,1068.0,3301.0,0.0,132.0,286.0,2883.0,Allegheny,10102,"Wilkins township, Allegheny County, Pennsylvania"
838,5762.0,11049.0,239.0,175.0,2004.0,8631.0,Allegheny,9051,"Wilkinsburg borough, Allegheny County, Pennsylvania"
705,595.0,1239.0,34.0,67.0,231.0,907.0,Allegheny,9013,"Wilmerding borough, Allegheny County, Pennsylvania"
539,269.0,751.0,58.0,8.0,42.0,643.0,Armstrong,8389,"Apollo borough, Armstrong County, Pennsylvania"
688,80.0,192.0,32.0,1.0,4.0,155.0,Armstrong,8391,"Applewold borough, Armstrong County, Pennsylvania"
-,2.0,59.0,0.0,0.0,0.0,59.0,Armstrong,8917,"Atwood borough, Armstrong County, Pennsylvania"
950,41.0,587.0,17.0,15.0,28.0,527.0,Armstrong,8836,"Bethel township, Armstrong County, Pennsylvania"
433,51.0,396.0,11.0,0.0,7.0,378.0,Armstrong,7928,"Boggs township, Armstrong County, Pennsylvania"
714,46.0,484.0,0.0,3.0,15.0,466.0,Armstrong,8210,"Bradys Bend township, Armstrong County, Pennsylvania"
667,43.0,326.0,3.0,3.0,13.0,307.0,Armstrong,8400,"Burrell township, Armstrong County, Pennsylvania"
765,29.0,166.0,4.0,2.0,5.0,155.0,Armstrong,7803,"Cadogan township, Armstrong County, Pennsylvania"
736,132.0,1221.0,37.0,5.0,49.0,1130.0,Armstrong,8373,"Cowanshannock township, Armstrong County, Pennsylvania"
556,19.0,238.0,5.0,0.0,4.0,229.0,Armstrong,8228,"Dayton borough, Armstrong County, Pennsylvania"
791,216.0,1702.0,0.0,0.0,53.0,1649.0,Armstrong,9042,"East Franklin township, Armstrong County, Pennsylvania"
788,67.0,169.0,4.0,0.0,0.0,165.0,Armstrong,8231,"Elderton borough, Armstrong County, Pennsylvania"
656,494.0,1616.0,26.0,21.0,118.0,1451.0,Armstrong,7949,"Ford City borough, Armstrong County, Pennsylvania"
732,30.0,199.0,0.0,2.0,2.0,195.0,Armstrong,7969,"Ford Cliff borough, Armstrong County, Pennsylvania"
695,458.0,948.0,0.0,29.0,119.0,800.0,Armstrong,8136,"Freeport borough, Armstrong County, Pennsylvania"
775,116.0,1155.0,0.0,0.0,22.0,1133.0,Armstrong,9065,"Gilpin township, Armstrong County, Pennsylvania"
-,7.0,71.0,0.0,2.0,3.0,66.0,Armstrong,8551,"Hovey township, Armstrong County, Pennsylvania"
777,292.0,2296.0,0.0,0.0,23.0,2273.0,Armstrong,8851,"Kiskiminetas township, Armstrong County, Pennsylvania"
611,1003.0,2172.0,59.0,36.0,220.0,1857.0,Armstrong,8381,"Kittanning borough, Armstrong County, Pennsylvania"
764,177.0,963.0,28.0,0.0,13.0,922.0,Armstrong,8854,"Kittanning township, Armstrong County, Pennsylvania"
615,368.0,1158.0,48.0,48.0,93.0,969.0,Armstrong,9206,"Leechburg borough, Armstrong County, Pennsylvania"
500,74.0,546.0,0.0,0.0,31.0,515.0,Armstrong,8792,"Madison township, Armstrong County, Pennsylvania"
626,156.0,695.0,7.0,3.0,24.0,661.0,Armstrong,7725,"Mahoning township, Armstrong County, Pennsylvania"
595,333.0,2041.0,49.0,0.0,85.0,1907.0,Armstrong,9300,"Manor township, Armstrong County, Pennsylvania"
617,51.0,204.0,0.0,0.0,10.0,194.0,Armstrong,8585,"Manorville borough, Armstrong County, Pennsylvania"
619,129.0,635.0,0.0,0.0,25.0,610.0,Armstrong,8623,"North Apollo borough, Armstrong County, Pennsylvania"
622,211.0,1262.0,0.0,0.0,32.0,1230.0,Armstrong,9263,"North Buffalo township, Armstrong County, Pennsylvania"
591,97.0,339.0,20.0,6.0,13.0,300.0,Armstrong,9127,"Parker city, Armstrong County, Pennsylvania"
721,356.0,1350.0,47.0,13.0,129.0,1161.0,Armstrong,8613,"Parks township, Armstrong County, Pennsylvania"
550,31.0,282.0,3.0,10.0,24.0,245.0,Armstrong,8614,"Perry township, Armstrong County, Pennsylvania"
671,33.0,243.0,3.0,0.0,0.0,240.0,Armstrong,8617,"Pine township, Armstrong County, Pennsylvania"
766,182.0,1073.0,26.0,4.0,27.0,1016.0,Armstrong,8620,"Plumcreek township, Armstrong County, Pennsylvania"
